name,sku,value,brand,description
Black leather loafers ,ITEM NO. BH201RH1EB 001,£722.50,Givenchy,Loafers realized in smooth leather characterized by in relief logo on the side enriched by logoed metal detail on the vamp.- Round toe- Embossed logo on the inside - Lug sole 
Printed leather Spoiler sneakers,ITEM NO. CS1772AH494 HWF57,£760.75,Dolce & Gabbana,Sneakers realized in smooth calf leather characterized by Graffiti print on the entire surface and logo in relief at the back enriched by metal studs and logoed patch on the sides.
Multicolor fabric and suede sneakers,ITEM NO. XXM63K0GT80QHG 3521,£586.50,Tod's,Sneakers realized in suede and fabric enriched by leather band on the sides.
Black leather loafers,ITEM NO. XXM42C0FJ10D90 B999,£484.50,Tod's,Loafers realized in smooth leather enriched by metal logoed detail on the vamp.
Multicolor leather Superstar Classic sneakers ,ITEM NO. GMF00101F004166 11390,£369.75,Golden Goose Deluxe Brand,Sneakers realized in smooth leather with suede inserts characterized by intentional dirties on the entire surface enriched by iconic Star patch and metal lettering logo on the side. - Logoed lace-up closure- Logoed label on the tongue- Padded ankle- Printed logo on the inside 
Black leather slippers,ITEM NO. A80312AW694 8B577,£675.75,Dolce & Gabbana,Black leather slippers
Black velvet slippers ,ITEM NO. A80310AO249 8R747,£760.75,Dolce & Gabbana,Slippers realized in velvet characterized by tonal embroidery at the front. 
Multicolor nappa leather Stud Around sneakers ,ITEM NO. 2Y2S0G51TUF Q1X,£603.50,Valentino Garavani,Sneakers realized in nappa leather with suede insert at the front enriched by stud on the side and logoed label on the padded tongue. 
Two-tone leather Skel sneakers,ITEM NO. PS23MFS003 510,£476.85,Amiri,Sneakers realized in pebble leather with nylon insert enriched by peculiar patches on the entire surface and detachable metal logoed accessory.- Logo in relief on the side- Lace-up closure- Perforated toe with logoed plate- Logoed label on the tongue- Padded ankle and embossed logo at the back- Printed logo on the inside 
Two-tone fabric and leather Flow Runner sneakers,ITEM NO. M816282X95 WHITE,£579.70,Loewe,Sneakers realized in fabric with nappa leather and suede inserts enriched by leather logoed patch on the side and leather logoed label on the tongue.- Lace-up closure- Padded ankle- Printed logo on the inside 
Turquoise rubber slippers ,ITEM NO. PMIC001S23PLA001 4001,£119.00,Palm Angels,Slippers realized in rubber characterized by contrasting printed logo in relief on the band. - Moulded sole - Embossed logo on the inside 
Black leather loafers,ITEM NO. XXM42C0CT51T1C B999,£484.50,Tod's,Loafers realized in smooth leather enriched by metal logoed detail on the vamp.
Orange rubber slippers ,ITEM NO. PMIC001S23PLA001 2001,£119.00,Palm Angels,Slippers realized in rubber characterized by contrasting printed logo in relief on the band. - Moulded sole - Embossed logo on the inside 
